freq,psd_x,psd_y,psd_z,psd_xyz
167.7,1.849e+03,3.107e+03,1.080e+03,6.036e+03
169.3,1.646e+03,3.065e+03,1.041e+03,5.752e+03
170.9,1.417e+03,3.013e+03,9.933e+02,5.423e+03
172.5,1.254e+03,3.016e+03,9.300e+02,5.200e+03
174.1,1.133e+03,3.307e+03,1.015e+03,5.455e+03
175.8,1.067e+03,3.758e+03,1.185e+03,6.010e+03
177.4,9.574e+02,4.488e+03,1.485e+03,6.931e+03
179.0,7.721e+02,5.489e+03,1.845e+03,8.106e+03
180.6,5.938e+02,6.120e+03,2.184e+03,8.898e+03
182.2,6.975e+02,6.156e+03,2.488e+03,9.341e+03
183.8,1.263e+03,4.902e+03,2.436e+03,8.600e+03
185.4,1.580e+03,3.168e+03,1.675e+03,6.423e+03
187.0,1.678e+03,2.963e+03,1.503e+03,6.144e+03
188.7,1.630e+03,2.951e+03,1.383e+03,5.965e+03
190.3,2.004e+03,2.119e+03,9.301e+02,5.054e+03
191.9,2.539e+03,4.748e+03,2.107e+03,9.393e+03
193.5,5.199e+03,7.836e+03,4.003e+03,1.704e+04
195.1,5.484e+03,4.315e+03,2.399e+03,1.220e+04
196.7,2.552e+03,1.863e+03,1.145e+03,5.560e+03
198.3,2.770e+03,1.920e+03,1.153e+03,5.843e+03
199.9,2.981e+03,1.639e+03,9.018e+02,5.521e+03
