freq,psd_x,psd_y,psd_z,psd_xyz
164.6,1.669e+02,5.580e+03,6.099e+03,1.185e+04
166.2,1.725e+02,6.033e+03,6.217e+03,1.242e+04
167.8,1.830e+02,7.817e+03,5.871e+03,1.387e+04
169.5,1.285e+02,9.950e+03,5.565e+03,1.564e+04
171.1,7.474e+01,6.669e+03,2.790e+03,9.534e+03
172.7,6.611e+01,2.513e+03,4.671e+02,3.046e+03
174.3,8.172e+01,1.814e+03,2.109e+02,2.106e+03
175.9,9.116e+01,1.631e+03,1.817e+02,1.903e+03
177.5,8.157e+01,1.408e+03,1.527e+02,1.642e+03
179.1,7.775e+01,1.250e+03,1.385e+02,1.467e+03
180.8,9.329e+01,1.061e+03,1.171e+02,1.272e+03
182.4,1.021e+02,9.125e+02,1.036e+02,1.118e+03
184.0,1.153e+02,9.734e+02,1.172e+02,1.206e+03
185.6,2.603e+02,1.301e+03,1.938e+02,1.755e+03
187.2,2.340e+02,1.164e+03,1.589e+02,1.557e+03
188.8,1.215e+02,1.195e+03,1.133e+02,1.430e+03
190.4,1.127e+02,1.474e+03,9.934e+01,1.686e+03
192.1,9.632e+01,2.141e+03,1.165e+02,2.354e+03
193.7,1.112e+02,3.182e+03,1.447e+02,3.438e+03
195.3,1.259e+02,4.363e+03,1.688e+02,4.658e+03
196.9,1.113e+02,5.636e+03,1.995e+02,5.947e+03
198.5,1.292e+02,8.066e+03,2.915e+02,8.487e+03
